Formula,Entry prototype,Notes,Num Elements,2c,2a,6h1,6h2,12k
Al3FeLu10,"Cd3Y10Ru,hP28,194",,3,Fe,Lu,Lu,Al,Lu
Al3Lu10Os,"Cd3Y10Ru,hP28,194",,3,Os,Lu,Lu,Al,Lu
Al3Lu10Pd,"Cd3Y10Ru,hP28,194",,3,Pd,Lu,Lu,Al,Lu
Al3Lu10Pt,"Cd3Y10Ru,hP28,194",,3,Pt,Lu,Lu,Al,Lu
Cd3Lu10Ru,"Cd3Y10Ru,hP28,194",,3,Ru,Lu,Lu,Cd,Lu
Cd3RhY10,"Cd3Y10Ru,hP28,194",,3,Rh,Y,Y,Cd,Y
Al3OsY10,"Cd3Y10Ru,hP28,194",,3,Os,Y,Y,Al,Y
Cd3RuTm10,"Cd3Y10Ru,hP28,194",,3,Ru,Tm,Tm,Cd,Tm
Cd3NiTm10,"Cd3Y10Ru,hP28,194",,3,Ni,Tm,Tm,Cd,Tm
Cd3Dy10Ni,"Cd3Y10Ru,hP28,194",,3,Ni,Dy,Dy,Cd,Dy
Cd3Er10Ru,"Cd3Y10Ru,hP28,194",,3,Ru,Er,Er,Cd,Er
